CustomerID,FirstName,Lastname,Address01,Address02,City,State,ZipCode
48330799,John,Doe48330799,2735 Tree St,,Shelby Township,MI,48317
47067153,John,Doe47067153,NULL,,Ottowalaje,OH,49267
6211642,John,Doe6211642,3716 Tree St,,Chattanooga,TN   ,37416
46227202,John,Doe46227202,7371 Tree St,,Wesley Chapel,FL,33544
6898524,John,Doe6898524,8000 Tree St,,Kennewick,WA,99337
3658113,John,Doe3658113,7166 Tree St,,Orland Park,IL,60467
49306211,John,Doe49306211,1696 Tree St,,Missouri City,TX,77459
45809333,John,Doe45809333,NULL,,ORLANDO,FL,32835
47274450,John,Doe47274450,NULL,,GLADSTONE,MO,64118
6793113,John,Doe6793113,4511 Tree St,,Colorado Springs,CO,80909
17614687,John,Doe17614687,1834 Tree St,,ROSEVILLE,CA   ,95678
52428759,John,Doe52428759,5212 Tree St,,Albuquerque,NM,87121
17668553,John,Doe17668553,4933 Tree St,,LAKEWOOD,CO   ,80227
30300641,John,Doe30300641,4342 Tree St,,HOPKINS,MN   ,55305
42243035,John,Doe42243035,NULL,,Mississauga,ON,L5J 4J7
11333165,John,Doe11333165,5332 Tree St,,HIGH SPRINGS,FL   ,32643
3266189,John,Doe3266189,NULL,,EAST PEORIA,IL,61611
46086438,John,Doe46086438,1450 Tree St,,Doylestown,OH,44230
49390951,John,Doe49390951,0945 Tree St,,Frisco,TX,75035
8533570,John,Doe8533570,NULL,,Blackstock,ON,L0B 1B0
8119758,John,Doe8119758,5022 Tree St,,Gainesville,FL,32605
32731937,John,Doe32731937,NULL,,MONROE,MI   ,48161
36844329,John,Doe36844329,1103 Tree St,,Jacksonville,FL   ,32226
40417411,John,Doe40417411,4725 Tree St,,Lewisville,TX,75057
3830906,John,Doe3830906,NULL,,Roanoke,VA   ,24012
15473249,John,Doe15473249,NULL,,ROWLETT,TX   ,75088
35497707,John,Doe35497707,0702 Tree St,,Carson City,NV,89706
19501800,John,Doe19501800,NULL,,ST. JOSEPH,MO,64506
24251365,John,Doe24251365,2042 Tree St,,Verona,WI,53593
29603069,John,Doe29603069,4102 Tree St,,Lexington,KY   ,40503
25758856,John,Doe25758856,3794 Tree St,,Fort Worth,TX,76108
43578315,John,Doe43578315,NULL,,Silverdale,WA   ,98383
30155855,John,Doe30155855,4017 Tree St,,San Diego,CA   ,92107
21162036,John,Doe21162036,1907 Tree St,,Stockton,CA   ,95203
38281078,John,Doe38281078,5135 Tree St,,Georgetown,TX   ,78633
37465770,John,Doe37465770,NULL,,MADISON,AL,35758
51958060,John,Doe51958060,3156 Tree St,,Plainfield,IL,60544
43593925,John,Doe43593925,8222 Tree St,,Hart,MI   ,49420
47627351,John,Doe47627351,1925 Tree St,,Lexington,KY,40511
